Taxon_id,Official_name_NCBI
23,Shewanellacolwelliana
48,Archangiumgephyra
52,Chondromycescrocatus
54,Nannocystisexedens
69,Lysobacterenzymogenes
140,Borreliahermsii
162,Treponemaphagedenis
163,Treponemabryantii
183,Leptonemaillini
192,Azospirillumbrasilense
195,Campylobactercoli
202,Campylobactermucosalis
211,CLO3Helicobacter
216,Helicobactermuridarum
238,Elizabethkingiameningoseptica
244,Planomicrobiumokeanokoites
246,Chryseobacteriumbalustinum
253,Chryseobacteriumindologenes
254,Chryseobacteriumindoltheticum
256,Myroidesodoratus
276,Thermusfiliformis
292,Burkholderiacepacia
293,Brevundimonasdiminuta
294,Pseudomonasfluorescens
296,Pseudomonasfragi
301,Pseudomonasoleovorans
359,Agrobacteriumrhizogenes
375,Bradyrhizobiumjaponicum
376,Bradyrhizobiumsp.
381,Mesorhizobiumloti
382,Sinorhizobiummeliloti
394,NGR234Sinorhizobium
396,Rhizobiumphaseoli
435,Acetobacteraceti
447,Fluoribacterbozemanae
448,Legionellaerythra
449,Legionellahackeliae
451,Tatlockiamicdadei
452,Legionellaspiritensis
453,Legionellafeeleii
454,Legionellaisraelensis
455,Legionellajamestowniensis
456,Legionellajordanis
458,Legionellarubrilucens
460,Legionellasteigerwaltii
464,Fluoribactergormanii
466,Legionellamaceachernii
471,Acinetobactercalcoaceticus
476,Moraxellabovis
477,Moraxellalacunata
478,Moraxellanonliquefaciens
484,Neisseriaflavescens
486,Neisserialactamica
490,Neisseriasicca
493,Neisseriacanis
504,Kingellakingae
511,Alcaligenesfaecalis
526,Acidiphiliumrubrum
539,Eikenellacorrodens
548,Klebsiellaaerogenes
549,Pantoeaagglomerans
569,Hafniaalvei
571,Klebsiellaoxytoca
580,Kluyveracryocrescens
582,Morganellamorganii
584,Proteusmirabilis
585,Proteusvulgaris
587,Providenciarettgeri
588,Providenciastuartii
614,Serratialiquefaciens
631,Yersiniaintermedia
636,Edwardsiellatarda
646,Aeromonassobria
649,Aeromonaseucrenophila
650,Aeromonasjandaei
652,Aeromonasschubertii
654,Aeromonasveronii
659,Photobacteriumphosphoreum
663,Vibrioalginolyticus
669,Vibrioharveyi
670,Vibrioparahaemolyticus
672,Vibriovulnificus
673,Grimontiahollisae
674,Vibriomimicus
676,Vibriofluvialis
688,Aliivibriologei
689,Vibriomediterranei
691,Vibrionatriegens
693,Vibrionereis
703,Plesiomonasshigelloides
714,Aggregatibacteractinomycetemcomitans
728,Avibacteriumparagallinarum
732,Aggregatibacteraphrophilus
733,Haemophilushaemoglobinophilus
734,Haemophilusparacuniculus
735,Haemophilusparahaemolyticus
736,Haemophilusparaphrohaemolyticus
739,Aggregatibactersegnis
758,Rodentibacterpneumotropicus
779,Ehrlichiaruminantium
807,Bartonellaelizabethae
820,Bacteroidesuniformis
824,Campylobactergracilis
847,Oxalobacterformigenes
859,Fusobacteriumnecrophorum
867,Ruminobacteramylophilus
882,HildenboroughDesulfovibrio
883,MiyazakiDesulfovibrio
897,Desulfococcusmultivorans
901,Desulfovibriopiger
917,Nitrosomonasmarina
930,Acidithiobacillusthiooxidans
955,Wolbachiapipientis
966,Oceanospirillumlinum
971,Selenomonasruminantium
983,Flavobacteriumflevense
991,Flavobacteriumhydatis
1003,Thermoflexibacterruber
1004,Chitinophagasancti
1010,Sphingobacteriummizutaii
1028,Marivirgasericea
1035,Afipiafelis
1044,Erythrobacterlongus
1058,Thiocapsaroseopersicina
1079,Blastochlorisviridis
1112,Porphyrobacterneustonensis
1140,Synechococcuselongatus
1147,PCC6714Synechocystis
1148,PCC6803Synechocystis
1188,PCC7601Tolypothrix
1233,Nitrosovibriotenuis
1238,Piscirickettsiasalmonis
1245,Leuconostocmesenteroides
1246,Leuconostoclactis
1254,Pediococcusacidilactici
1261,Peptostreptococcusanaerobius
1265,Ruminococcusflavefaciens
1267,Clostridiumventriculi
1272,Kocuriavarians
1274,Dermacoccusnishinomiyaensis
1281,Staphylococcuscarnosus
1283,Staphylococcushaemolyticus
1284,Staphylococcushyicus
1286,Staphylococcussimulans
1288,Staphylococcusxylosus
1293,Staphylococcusgallinarum
1295,Staphylococcusschleiferi
1296,Staphylococcussciuri
1303,Streptococcusoralis
1304,Streptococcussalivarius
1314,Streptococcuspyogenes
1326,Streptococcusacidominimus
1335,Streptococcusequinus
1338,Streptococcusintermedius
1346,Streptococcusiniae
1352,Enterococcusfaecium
1353,Enterococcusgallinarum
1354,Enterococcushirae
1364,Lactococcuspiscium
1371,Marinococcushalophilus
1374,Planococcuskocurii
1377,Aerococcusviridans
1379,Gemellahaemolysans
1381,Atopobiumminutum
1383,Atopobiumrimae
1397,Bacilluscirculans
1398,Bacilluscoagulans
1399,Bacillusfirmus
1401,Paenibacilluslautus
1405,Bacillusmycoides
1406,Paenibacilluspolymyxa
1421,Lysinibacillussphaericus
1426,Parageobacillusthermoglucosidasius
1452,Bacillusatrophaeus
1455,Bacillusbadius
1459,Sporosarcinaglobispora
1472,Paenibacilluspabuli
1476,Sporosarcinapsychrophila
1478,Bacillussimplex
1479,Bacillussmithii
1482,Virgibacillushalodenitrificans
1484,Hydrogenibacillusschlegelii
1490,Paraclostridiumbifermentans
1492,Clostridiumbutyricum
1494,Clostridiumcochlearium
1497,Clostridiumformicaceticum
1503,Gottschalkiapurinilytica
1504,Clostridiumsepticum
1505,Paeniclostridiumsordellii
1511,Acetoanaerobiumsticklandii
1512,[Clostridium]symbiosum
1519,Clostridiumtyrobutyricum
1520,Clostridiumbeijerinckii
1526,[Clostridium]aminophilum
1527,Anaerocolumnaaminovalerica
1528,Eubacteriumbarkeri
1529,Clostridiumcadaveris
1533,Clostridiumfallax
1548,Clostridiumscatologenes
1552,Clostridiumestertheticum
1561,Clostridiumbaratii
1571,Sporosarcinaureae
1582,Lactobacilluscasei
1583,Weissellaconfusa
1587,Lactobacillushelveticus
1589,Lactobacilluspentosus
1600,Lactobacillusacetotolerans
1601,Lactobacillusagilis
1604,Lactobacillusamylovorus
1612,Lactobacillusfarciminis
1613,Lactobacillusfermentum
1614,Lactobacillusfructivorans
1616,Weissellakandleri
1618,Lactobacillusmali
1620,Weissellaminor
1622,Lactobacillusmurinus
1629,Weissellaviridescens
1630,Kandleriavitulina
1631,Fructobacillusfructosus
1648,Erysipelothrixrhusiopathiae
1655,Actinomycesnaeslundii
1657,Actinobaculumsuis
1660,Schaaliaodontolytica
1661,Trueperellapyogenes
1681,Bifidobacteriumbifidum
1683,Bifidobacteriumangulatum
1685,Bifidobacteriumbreve
1687,Bifidobacteriumcoryneforme
1688,Bifidobacteriumcuniculi
1692,Bifidobacteriummagnum
1693,Bifidobacteriumminimum
1697,Corynebacteriumammoniagenes
1703,Brevibacteriumlinens
1705,Corynebacteriumstationis
1713,Oerskoviaturbata
1724,Corynebacteriumrenale
1725,Corynebacteriumxerosis
1732,Eubacteriumoxidoreducens
1736,Eubacteriumlimosum
1747,Cutibacteriumacnes
1765,variantbovis
1766,Mycolicibacteriumfortuitum
1768,Mycobacteriumkansasii
1771,Mycolicibacteriumphlei
1774,Mycobacteroideschelonae
1776,Mycolicibacteriumflavescens
1777,Mycobacteriumgastri
1778,Mycobacteriumgordonae
1780,Mycobacteriummalmoense
1782,Mycolicibacternonchromogenicus
1783,Mycobacteriumscrofulaceum
1784,Mycobacteriumsimiae
1787,Mycobacteriumszulgai
1788,Mycolicibacterterrae
1789,Mycobacteriumxenopi
1790,Mycobacteriumasiaticum
1791,Mycolicibacteriumaurum
1793,Mycolicibacteriumfallax
1795,Mycolicibacteriumneoaurum
1796,Mycolicibacteriumsenegalense
1797,Mycolicibacteriumthermoresistibile
1798,Mycolicibacillustrivialis
1801,Mycolicibacteriumdiernhoferi
1806,variantmicroti
1807,Mycolicibacteriumobuense
1824,Nocardiaasteroides
1829,Rhodococcusrhodochrous
1833,Rhodococcuserythropolis
1844,Nocardioidesluteus
1848,Pseudonocardiathermophila
1869,Actinoplanesutahensis
1888,Streptomycesalbus
1889,Streptomycesambofaciens
1890,Streptomycesantibioticus
1893,Streptomycesatratus
1894,Kitasatosporaaureofaciens
1896,Streptomycesbikiniensis
1901,Streptomycesclavuligerus
1905,Streptomycesexfoliatus
1906,Streptomycesfradiae
1907,Streptomycesglaucescens
1911,Streptomycesgriseus
1915,Streptomyceslincolnensis
1935,Streptomycesviolaceoruber
1943,Streptomycesgriseoruber
1957,Streptomycessclerotialus
1963,Streptomycesolivochromogenes
1968,Streptomycescellulosae
1993,Actinomaduramadurae
1996,Microtetrasporaglauca
2002,Streptosporangiumamethystogenes
2017,Streptoalloteichushindustanus
2035,Curtobacteriumflaccumfaciens
2036,Curtobacteriumcitreum
2041,Aeromicrobiumerythreum
2045,Pimelobactersimplex
2055,Gordoniaterrae
2064,Kitasatosporagriseola
2074,Pseudonocardiaautotrophica
2094,Mycoplasmaarginini
2100,Mycoplasmahyorhinis
2113,Mycoplasmacalifornicum
2133,Spiroplasmacitri
2138,Spiroplasmapoulsonii
2162,Methanobacteriumformicicum
2177,Methanohalophilushalophilus
2200,Methanoculleusthermophilus
2309,Pyrodictiumoccultum
2325,Thermoanaerobacterkivui
2340,Solemyavelum
2342,CandidatusSodalis
2423,Fervidobacteriumislandicum
2702,Gardnerellavaginalis
2711,Citrussinensis
2718,Cardiobacteriumhominis
2741,Peptococcusniger
2748,Carnobacteriumdivergens
2754,Synergistesjonesii
2756,Brochothrixthermosphacta
2769,Chondruscrispus
2880,Ectocarpussiliculosus
2903,Emilianiahuxleyi
3055,Chlamydomonasreinhardtii
3068,Volvoxcarteri
3075,Auxenochlorellaprotothecoides
3076,Chlorellasorokiniana
3088,Tetradesmusobliquus
3218,Physcomitrellapatens
3469,Papaversomniferum
3476,Parasponiaandersonii
3562,Spinaciaoleracea
3635,Gossypiumhirsutum
3641,Theobromacacao
3659,Cucumissativus
3694,Populustrichocarpa
3702,Arabidopsisthaliana
3708,Brassicanapus
3750,Malusdomestica
3760,Prunuspersica
3775,Cephalotusfollicularis
3818,Arachishypogaea
3821,Cajanuscajan
3827,Cicerarietinum
3847,Glycinemax
3871,Lupinusangustifolius
3880,Medicagotruncatula
3885,Phaseolusvulgaris
3914,Vignaangularis
3916,Vignaradiata
3983,Manihotesculenta
3988,Ricinuscommunis
4072,Capsicumannuum
4081,Solanumlycopersicum
4096,Nicotianasylvestris
4097,Nicotianatabacum
4113,Solanumtuberosum
4155,Erythrantheguttata
4232,Helianthusannuus
4236,Lactucasativa
4432,Nelumbonucifera
4529,Oryzarufipogon
4533,Oryzabrachyantha
4536,f.spontanea
4537,Oryzapunctata
4538,Oryzaglaberrima
4540,Panicummiliaceum
4555,Setariaitalica
4558,Sorghumbicolor
4565,Triticumaestivum
4572,Triticumurartu
4577,Zeamays
4615,Ananascomosus
4779,Bremialactucae
4781,Plasmoparahalstedii
4790,Phytophthoranicotianae
4795,Phytophthoramegakarya
4829,Absidiaglauca
4846,Rhizopusstolonifer
4909,Pichiakudriavzevii
4932,Saccharomycescerevisiae
4955,Lachanceafermentati
